Watershed_designation,Fire_treatment,Year,Plot_number,Transect_number,Grass_cover,Shrub_cover
20b,infrequent,1995,17,4,45.5,0
20b,infrequent,1995,18,4,15.5,0
20b,infrequent,1995,19,4,4,0
20b,infrequent,1995,20,4,36.5,0
20b,infrequent,1996,1,1,40,0
20b,infrequent,1996,2,1,92,0.5
20b,infrequent,1996,3,1,81,0
20b,infrequent,1996,4,1,15.5,0
20b,infrequent,1996,5,1,15.5,0
20b,infrequent,1996,6,2,62.5,0
20b,infrequent,1996,7,2,85,0
20b,infrequent,1996,8,2,33,0
20b,infrequent,1996,9,2,33,0
20b,infrequent,1996,10,2,51.5,0
20b,infrequent,1996,11,3,66,3.5
20b,infrequent,1996,12,3,98,0
20b,infrequent,1996,13,3,48,0
20b,infrequent,1996,14,3,63.5,0
20b,infrequent,1996,15,3,33,39.5
20b,infrequent,1996,16,4,19,3.5
20b,infrequent,1996,17,4,51,3.5
20b,infrequent,1996,18,4,18.5,0
20b,infrequent,1996,19,4,15.5,0
20b,infrequent,1996,20,4,89,0
20b,infrequent,1997,1,1,33.5,0.5
20b,infrequent,1997,2,1,89,0.5
20b,infrequent,1997,3,1,89,0
20b,infrequent,1997,4,1,15.5,0
20b,infrequent,1997,5,1,15,0
20b,infrequent,1997,6,2,89,0
20b,infrequent,1997,7,2,88.5,0
20b,infrequent,1997,8,2,32.5,0.5
20b,infrequent,1997,9,2,19,0
20b,infrequent,1997,10,2,33.5,0
20b,infrequent,1997,11,3,66.5,3.5
20b,infrequent,1997,12,3,97.5,0
20b,infrequent,1997,13,3,22.5,0
20b,infrequent,1997,14,3,88.5,0
20b,infrequent,1997,15,3,15,36
20b,infrequent,1997,16,4,18.5,3.5
20b,infrequent,1997,17,4,19.5,3.5
20b,infrequent,1997,18,4,3.5,0
20b,infrequent,1997,19,4,3.5,0
20b,infrequent,1997,20,4,88.5,0
20b,infrequent,1998,1,1,67,0.5
20b,infrequent,1998,2,1,86,3.5
20b,infrequent,1998,3,1,88.5,0
20b,infrequent,1998,4,1,33,0
20b,infrequent,1998,5,1,36,0
20b,infrequent,1998,6,2,66.5,3.5
20b,infrequent,1998,7,2,88.5,3.5
20b,infrequent,1998,8,2,18.5,3.5
20b,infrequent,1998,9,2,51,0.5
20b,infrequent,1998,10,2,37,0.5
20b,infrequent,1998,11,3,69.5,3.5
20b,infrequent,1998,12,3,98.5,0
20b,infrequent,1998,13,3,22.5,0
20b,infrequent,1998,14,3,89,0
20b,infrequent,1998,15,3,36.5,36.5
20b,infrequent,1998,16,4,15.5,18.5
20b,infrequent,1998,17,4,22.5,3.5
20b,infrequent,1998,18,4,19,0
20b,infrequent,1998,19,4,4,0
20b,infrequent,1998,20,4,86,0
20b,infrequent,1999,1,1,67,0
20b,infrequent,1999,2,1,86,3.5
20b,infrequent,1999,3,1,101,0
20b,infrequent,1999,4,1,33,0
20b,infrequent,1999,5,1,15.5,0
20b,infrequent,1999,6,2,69.5,3.5
20b,infrequent,1999,7,2,66,3.5
20b,infrequent,1999,8,2,39.5,3.5
20b,infrequent,1999,9,2,51,4
20b,infrequent,1999,10,2,37,3.5
20b,infrequent,1999,11,3,89,3.5
20b,infrequent,1999,12,3,92,0
20b,infrequent,1999,13,3,22,0
20b,infrequent,1999,14,3,89,0.5
20b,infrequent,1999,15,3,39.5,36
20b,infrequent,1999,16,4,7,15.5
20b,infrequent,1999,17,4,19.5,3.5
20b,infrequent,1999,18,4,16,0
20b,infrequent,1999,19,4,4,0
20b,infrequent,1999,20,4,88.5,0.5
20b,infrequent,2000,1,1,70,0.5
20b,infrequent,2000,2,1,67,15
20b,infrequent,2000,3,1,89,0
20b,infrequent,2000,4,1,63,0
20b,infrequent,2000,5,1,15.5,0
20b,infrequent,2000,6,2,81,15
20b,infrequent,2000,7,2,66,32.5
20b,infrequent,2000,8,2,39.5,15
20b,infrequent,2000,9,2,51,7
20b,infrequent,2000,10,2,37,15
20b,infrequent,2000,11,3,66.5,15
20b,infrequent,2000,12,3,69.5,3.5
20b,infrequent,2000,13,3,39.5,0
20b,infrequent,2000,14,3,66,3.5
20b,infrequent,2000,15,3,22,88.5
20b,infrequent,2000,16,4,7,66
20b,infrequent,2000,17,4,19.5,15
20b,infrequent,2000,18,4,16,0
20b,infrequent,2000,19,4,7,0
20b,infrequent,2000,20,4,69.5,0
20b,infrequent,2001,1,1,70,0.5
20b,infrequent,2001,2,1,67,3.5
20b,infrequent,2001,3,1,89,0
20b,infrequent,2001,4,1,63,0
20b,infrequent,2001,5,1,15.5,0
20b,infrequent,2001,6,2,81,15
20b,infrequent,2001,7,2,66,32.5
20b,infrequent,2001,8,2,39.5,15
20b,infrequent,2001,9,2,51,7
20b,infrequent,2001,10,2,37,0
20b,infrequent,2001,11,3,66.5,18.5
20b,infrequent,2001,12,3,69.5,0
20b,infrequent,2001,13,3,51,0
20b,infrequent,2001,14,3,66.5,3.5
20b,infrequent,2001,15,3,22,88.5
20b,infrequent,2001,16,4,7,66
20b,infrequent,2001,17,4,22.5,15
20b,infrequent,2001,18,4,16,0
20b,infrequent,2001,19,4,7,0
20b,infrequent,2001,20,4,69.5,0
20b,infrequent,2002,1,1,43,0
20b,infrequent,2002,2,1,67,0.5
20b,infrequent,2002,3,1,89,0
20b,infrequent,2002,4,1,63,0
20b,infrequent,2002,5,1,33,0.5
20b,infrequent,2002,6,2,81,15
20b,infrequent,2002,7,2,66,32.5
20b,infrequent,2002,8,2,69.5,15
20b,infrequent,2002,9,2,51,7
20b,infrequent,2002,10,2,37,0
20b,infrequent,2002,11,3,66.5,18.5
20b,infrequent,2002,12,3,92,0
20b,infrequent,2002,13,3,51.5,0
20b,infrequent,2002,14,3,66.5,15
20b,infrequent,2002,15,3,22,89
20b,infrequent,2002,16,4,4,66
20b,infrequent,2002,17,4,25.5,15
20b,infrequent,2002,18,4,16,0
20b,infrequent,2002,19,4,18.5,0
20b,infrequent,2002,20,4,69.5,0
20b,infrequent,2003,1,1,43,0.5
20b,infrequent,2003,2,1,67,0.5
20b,infrequent,2003,3,1,89,0
20b,infrequent,2003,4,1,33,0
20b,infrequent,2003,5,1,15.5,0.5
20b,infrequent,2003,6,2,81,33
20b,infrequent,2003,7,2,66,32.5
20b,infrequent,2003,8,2,39.5,32.5
20b,infrequent,2003,9,2,33.5,7
20b,infrequent,2003,10,2,19.5,0.5
20b,infrequent,2003,11,3,36.5,30
20b,infrequent,2003,12,3,92,0.5
20b,infrequent,2003,13,3,51.5,0
20b,infrequent,2003,14,3,66.5,32.5
20b,infrequent,2003,15,3,4.5,113
20b,infrequent,2003,16,4,4,66
20b,infrequent,2003,17,4,25.5,32.5
20b,infrequent,2003,18,4,16,0
20b,infrequent,2003,19,4,18.5,0
20b,infrequent,2003,20,4,69.5,0.5
20b,infrequent,2004,1,1,43,0.5
20b,infrequent,2004,2,1,37,0.5
20b,infrequent,2004,3,1,66.5,0
20b,infrequent,2004,4,1,15.5,0
20b,infrequent,2004,5,1,15.5,0.5
20b,infrequent,2004,6,2,81,33
20b,infrequent,2004,7,2,66,32.5
20b,infrequent,2004,8,2,51,32.5
20b,infrequent,2004,9,2,33.5,7
20b,infrequent,2004,10,2,19,4
20b,infrequent,2004,11,3,33.5,30
20b,infrequent,2004,12,3,69.5,0.5
20b,infrequent,2004,13,3,19.5,0
20b,infrequent,2004,14,3,66.5,32.5
20b,infrequent,2004,15,3,1,134
20b,infrequent,2004,16,4,4,66
20b,infrequent,2004,17,4,25.5,32.5
20b,infrequent,2004,18,4,16,0
20b,infrequent,2004,19,4,18.5,0
20b,infrequent,2004,20,4,36.5,0.5
20b,infrequent,2005,1,1,43,0.5
20b,infrequent,2005,2,1,40,0.5
20b,infrequent,2005,3,1,66.5,0
20b,infrequent,2005,4,1,33,3.5
20b,infrequent,2005,5,1,15.5,3.5
20b,infrequent,2005,6,2,51,33
20b,infrequent,2005,7,2,66,32.5
20b,infrequent,2005,8,2,39.5,33
20b,infrequent,2005,9,2,33.5,7
20b,infrequent,2005,10,2,19.5,7
20b,infrequent,2005,11,3,33.5,30
20b,infrequent,2005,12,3,39.5,0.5
20b,infrequent,2005,13,3,19.5,0.5
20b,infrequent,2005,14,3,89,63
20b,infrequent,2005,15,3,1,145.5
20b,infrequent,2005,16,4,4,66
20b,infrequent,2005,17,4,22.5,15.5
20b,infrequent,2005,18,4,33.5,4
20b,infrequent,2005,19,4,39.5,0.5
20b,infrequent,2005,20,4,66.5,3.5
20b,infrequent,2006,1,1,54.5,0.5
20b,infrequent,2006,2,1,40,0.5
20b,infrequent,2006,3,1,39.5,0
20b,infrequent,2006,4,1,33,3.5
20b,infrequent,2006,5,1,15.5,3.5
20b,infrequent,2006,6,2,51,36
20b,infrequent,2006,7,2,66,32.5
20b,infrequent,2006,8,2,69.5,36
20b,infrequent,2006,9,2,33.5,7
20b,infrequent,2006,10,2,19.5,18.5
20b,infrequent,2006,11,3,33.5,47.5
20b,infrequent,2006,12,3,39.5,0.5
20b,infrequent,2006,13,3,22.5,0.5
20b,infrequent,2006,14,3,89,62.5
20b,infrequent,2006,15,3,0.5,193
20b,infrequent,2006,16,4,4,88.5
20b,infrequent,2006,17,4,40,15.5
20b,infrequent,2006,18,4,33.5,4
20b,infrequent,2006,19,4,39.5,4
20b,infrequent,2006,20,4,66.5,15.5
20b,infrequent,2007,1,1,54.5,0.5
20b,infrequent,2007,2,1,40,0.5
20b,infrequent,2007,3,1,69.5,0
20b,infrequent,2007,4,1,33,3.5
20b,infrequent,2007,5,1,15.5,7
20b,infrequent,2007,6,2,40,36
20b,infrequent,2007,7,2,88.5,33.5
20b,infrequent,2007,8,2,69.5,36
20b,infrequent,2007,9,2,51,7.5
20b,infrequent,2007,10,2,19.5,36
20b,infrequent,2007,11,3,36.5,78
20b,infrequent,2007,12,3,69.5,0.5
20b,infrequent,2007,13,3,22.5,0.5
20b,infrequent,2007,14,3,66.5,19
20b,infrequent,2007,15,3,0,145
20b,infrequent,2007,16,4,0.5,98
20b,infrequent,2007,17,4,33.5,18.5
20b,infrequent,2007,18,4,33.5,7
20b,infrequent,2007,19,4,39.5,0.5
20b,infrequent,2007,20,4,66.5,32.5
20b,infrequent,2008,1,1,54.5,0.5
20b,infrequent,2008,2,1,19,0.5
20b,infrequent,2008,3,1,39.5,0
20b,infrequent,2008,4,1,33,3.5
20b,infrequent,2008,5,1,15.5,7
20b,infrequent,2008,6,2,48.5,36
20b,infrequent,2008,7,2,66,36
20b,infrequent,2008,8,2,66.5,47.5
20b,infrequent,2008,9,2,51,19
20b,infrequent,2008,10,2,31,36
20b,infrequent,2008,11,3,19,95
20b,infrequent,2008,12,3,69.5,0.5
20b,infrequent,2008,13,3,22.5,4
20b,infrequent,2008,14,3,16,30.5
20b,infrequent,2008,15,3,0,145
20b,infrequent,2008,16,4,0,101
20b,infrequent,2008,17,4,22,18.5
20b,infrequent,2008,18,4,15,18.5
20b,infrequent,2008,19,4,39.5,3.5
20b,infrequent,2008,20,4,63,33
20b,infrequent,2009,1,1,54.5,0.5
20b,infrequent,2009,2,1,7.5,0.5
20b,infrequent,2009,3,1,51,0
20b,infrequent,2009,4,1,15.5,3.5
20b,infrequent,2009,5,1,4,18.5
20b,infrequent,2009,6,2,8,47.5
20b,infrequent,2009,7,2,15.5,39.5
20b,infrequent,2009,8,2,16,77.5
20b,infrequent,2009,9,2,22,19
20b,infrequent,2009,10,2,31,36
20b,infrequent,2009,11,3,1.5,95
20b,infrequent,2009,12,3,39.5,1
20b,infrequent,2009,13,3,25.5,15.5
20b,infrequent,2009,14,3,1,47.5
20b,infrequent,2009,15,3,0,145.5
20b,infrequent,2009,16,4,0,101
20b,infrequent,2009,17,4,39.5,30
20b,infrequent,2009,18,4,15.5,47.5
20b,infrequent,2009,19,4,22,15
20b,infrequent,2009,20,4,NA,0
20b,infrequent,2010,1,1,37,1
20b,infrequent,2010,2,1,8,3.5
20b,infrequent,2010,3,1,51,0
20b,infrequent,2010,4,1,16,7
20b,infrequent,2010,5,1,4,18.5
20b,infrequent,2010,6,2,7.5,65
20b,infrequent,2010,7,2,16,51
20b,infrequent,2010,8,2,16,95.5
20b,infrequent,2010,9,2,7.5,36.5
20b,infrequent,2010,10,2,19.5,36
20b,infrequent,2010,11,3,1,117.5
20b,infrequent,2010,12,3,22,4
20b,infrequent,2010,13,3,16.5,33
20b,infrequent,2010,14,3,0.5,65
20b,infrequent,2010,15,3,0,145.5
20b,infrequent,2010,16,4,0,101
20b,infrequent,2010,17,4,36.5,65
20b,infrequent,2010,18,4,4,65
20b,infrequent,2010,19,4,19,33
20b,infrequent,2010,20,4,3.5,97.5
20b,infrequent,2011,1,1,25.5,1
20b,infrequent,2011,2,1,8,4
20b,infrequent,2011,3,1,33.5,0
20b,infrequent,2011,4,1,16,18.5
20b,infrequent,2011,5,1,4,36
20b,infrequent,2011,6,2,8,48
20b,infrequent,2011,7,2,33.5,45
20b,infrequent,2011,8,2,1,65.5
20b,infrequent,2011,9,2,4.5,36.5
20b,infrequent,2011,10,2,8,63
20b,infrequent,2011,11,3,1,112.5
20b,infrequent,2011,12,3,36.5,4
20b,infrequent,2011,13,3,16.5,33
20b,infrequent,2011,14,3,1,65.5
20b,infrequent,2011,15,3,0,113
20b,infrequent,2011,16,4,0,97.5
20b,infrequent,2011,17,4,19,65
20b,infrequent,2011,18,4,0.5,95
20b,infrequent,2011,19,4,7,36
20b,infrequent,2011,20,4,0,97.5
20b,infrequent,2012,1,1,25.5,4.5
20b,infrequent,2012,2,1,8,2
20b,infrequent,2012,3,1,51,1
20b,infrequent,2012,4,1,16,31
20b,infrequent,2012,5,1,4,65.5
20b,infrequent,2012,6,2,8,47.5
20b,infrequent,2012,7,2,33.5,22.5
20b,infrequent,2012,8,2,4,65
20b,infrequent,2012,9,2,4.5,34
20b,infrequent,2012,10,2,5,64
20b,infrequent,2012,11,3,1,112.5
20b,infrequent,2012,12,3,36.5,3.5
20b,infrequent,2012,13,3,16,33.5
20b,infrequent,2012,14,3,1,80.5
20b,infrequent,2012,15,3,0,101
20b,infrequent,2012,16,4,0,97.5
20b,infrequent,2012,17,4,30.5,51
20b,infrequent,2012,18,4,0.5,65.5
20b,infrequent,2012,19,4,7,36.5
20b,infrequent,2012,20,4,0,99
20b,infrequent,2013,1,1,54.5,4.5
20b,infrequent,2013,2,1,19.5,5
20b,infrequent,2013,3,1,62.5,0.5
20b,infrequent,2013,4,1,16,48.5
20b,infrequent,2013,5,1,4,65.5
20b,infrequent,2013,6,2,7.5,81
20b,infrequent,2013,7,2,33.5,16
20b,infrequent,2013,8,2,4,51
20b,infrequent,2013,9,2,19,64
20b,infrequent,2013,10,2,4.5,63.5
20b,infrequent,2013,11,3,1,130
20b,infrequent,2013,12,3,39.5,3.5
20b,infrequent,2013,13,3,16,48
20b,infrequent,2013,14,3,1,97.5
20b,infrequent,2013,15,3,0,130
20b,infrequent,2013,16,4,0,104.5
20b,infrequent,2013,17,4,19,51
20b,infrequent,2013,18,4,0.5,68.5
20b,infrequent,2013,19,4,7,69.5
20b,infrequent,2013,20,4,0,102
4b,infrequent,1984,1,1,101,0
4b,infrequent,1984,2,1,104.5,0
4b,infrequent,1984,3,1,101.5,0
4b,infrequent,1984,4,1,128,0
4b,infrequent,1984,5,1,95.5,0
4b,infrequent,1984,6,2,132.5,0.5
4b,infrequent,1984,7,2,105,0
4b,infrequent,1984,8,2,104.5,0
4b,infrequent,1984,9,2,101.5,0
4b,infrequent,1984,10,2,105,0
4b,infrequent,1984,11,3,99,0.5
4b,infrequent,1984,12,3,108,0
4b,infrequent,1984,13,3,116,0
4b,infrequent,1984,14,3,113,0
4b,infrequent,1984,15,3,104.5,0
4b,infrequent,1984,16,4,104.5,0
4b,infrequent,1984,17,4,101,0
4b,infrequent,1984,18,4,101.5,0
4b,infrequent,1984,19,4,95.5,0
4b,infrequent,1984,20,4,100.5,0
4b,infrequent,1985,1,1,101,0
4b,infrequent,1985,2,1,101.5,0
4b,infrequent,1985,3,1,101.5,0
4b,infrequent,1985,4,1,115.5,0
4b,infrequent,1985,5,1,104.5,0
4b,infrequent,1985,6,2,132.5,0
4b,infrequent,1985,7,2,103.5,0
4b,infrequent,1985,8,2,104.5,0
4b,infrequent,1985,9,2,101.5,0
4b,infrequent,1985,10,2,104,0
4b,infrequent,1985,11,3,86,0.5
4b,infrequent,1985,12,3,108,0
4b,infrequent,1985,13,3,116,0
4b,infrequent,1985,14,3,113,0
4b,infrequent,1985,15,3,105,0
4b,infrequent,1985,16,4,101.5,0
4b,infrequent,1985,17,4,88.5,0
4b,infrequent,1985,18,4,89,0
4b,infrequent,1985,19,4,78.5,0
4b,infrequent,1985,20,4,89,0
4b,infrequent,1986,1,1,104.5,0
4b,infrequent,1986,2,1,145,0
4b,infrequent,1986,3,1,101,0
4b,infrequent,1986,4,1,115,0
4b,infrequent,1986,5,1,103.5,0
4b,infrequent,1986,6,2,150,0
4b,infrequent,1986,7,2,103.5,0
4b,infrequent,1986,8,2,103.5,0
4b,infrequent,1986,9,2,98.5,0
4b,infrequent,1986,10,2,89,0
4b,infrequent,1986,11,3,88.5,0.5
4b,infrequent,1986,12,3,101,0
4b,infrequent,1986,13,3,104,0
4b,infrequent,1986,14,3,103.5,0
4b,infrequent,1986,15,3,116.5,0
4b,infrequent,1986,16,4,100,0
4b,infrequent,1986,17,4,100,0.5
4b,infrequent,1986,18,4,100,0
4b,infrequent,1986,19,4,77.5,0
4b,infrequent,1986,20,4,130,0
4b,infrequent,1987,1,1,101.5,0
4b,infrequent,1987,2,1,113,0
4b,infrequent,1987,3,1,98,0
4b,infrequent,1987,4,1,92.5,0
4b,infrequent,1987,5,1,121.5,0
4b,infrequent,1987,6,2,118,0.5
4b,infrequent,1987,7,2,104,0
4b,infrequent,1987,8,2,107,0
4b,infrequent,1987,9,2,98.5,0
4b,infrequent,1987,10,2,89.5,0
4b,infrequent,1987,11,3,100.5,15
4b,infrequent,1987,12,3,118.5,0
4b,infrequent,1987,13,3,127.5,0
4b,infrequent,1987,14,3,121,0
4b,infrequent,1987,15,3,116.5,0
4b,infrequent,1987,16,4,112.5,0
4b,infrequent,1987,17,4,88.5,0
4b,infrequent,1987,18,4,112.5,0
4b,infrequent,1987,19,4,78,0
4b,infrequent,1987,20,4,117.5,0
4b,infrequent,1988,1,1,97.5,0
4b,infrequent,1988,2,1,88.5,0
4b,infrequent,1988,3,1,112.5,0
4b,infrequent,1988,4,1,92.5,0
4b,infrequent,1988,5,1,86,0
4b,infrequent,1988,6,2,78,0.5
4b,infrequent,1988,7,2,66.5,0.5
4b,infrequent,1988,8,2,67,0
4b,infrequent,1988,9,2,101,0
4b,infrequent,1988,10,2,89,0
4b,infrequent,1988,11,3,62.5,15
4b,infrequent,1988,12,3,103.5,0
4b,infrequent,1988,13,3,89,0
4b,infrequent,1988,14,3,92,0
4b,infrequent,1988,15,3,101,0.5
4b,infrequent,1988,16,4,63,0.5
4b,infrequent,1988,17,4,77.5,3.5
4b,infrequent,1988,18,4,66,0
4b,infrequent,1988,19,4,39.5,0
4b,infrequent,1988,20,4,66,0
4b,infrequent,1989,1,1,88.5,0
4b,infrequent,1989,2,1,85.5,0
4b,infrequent,1989,3,1,85.5,0
4b,infrequent,1989,4,1,66.5,0
4b,infrequent,1989,5,1,32.5,0
4b,infrequent,1989,6,2,78,0.5
4b,infrequent,1989,7,2,40,0
4b,infrequent,1989,8,2,69.5,0
4b,infrequent,1989,9,2,85,0
4b,infrequent,1989,10,2,33,0
4b,infrequent,1989,11,3,19,15
4b,infrequent,1989,12,3,48,0
4b,infrequent,1989,13,3,16,0
4b,infrequent,1989,14,3,66.5,0
4b,infrequent,1989,15,3,33,0
4b,infrequent,1989,16,4,47.5,0
4b,infrequent,1989,17,4,18.5,3.5
4b,infrequent,1989,18,4,36,0
4b,infrequent,1989,19,4,33.5,0
4b,infrequent,1989,20,4,30,3.5
4b,infrequent,1990,1,1,88.5,0
4b,infrequent,1990,2,1,100,0
4b,infrequent,1990,3,1,85.5,0
4b,infrequent,1990,4,1,36.5,0
4b,infrequent,1990,5,1,36,0
4b,infrequent,1990,6,2,66.5,0.5
4b,infrequent,1990,7,2,36,0
4b,infrequent,1990,8,2,66.5,0
4b,infrequent,1990,9,2,85,0
4b,infrequent,1990,10,2,63.5,0
4b,infrequent,1990,11,3,63,15
4b,infrequent,1990,12,3,36,0
4b,infrequent,1990,13,3,36,0
4b,infrequent,1990,14,3,89,0.5
4b,infrequent,1990,15,3,66,0
4b,infrequent,1990,16,4,33,3.5
4b,infrequent,1990,17,4,66,3.5
4b,infrequent,1990,18,4,33,0
4b,infrequent,1990,19,4,36.5,0
4b,infrequent,1990,20,4,30,15
4b,infrequent,1991,1,1,88.5,0
4b,infrequent,1991,2,1,92,0
4b,infrequent,1991,3,1,85.5,0
4b,infrequent,1991,4,1,78.5,0
4b,infrequent,1991,5,1,47.5,0
4b,infrequent,1991,6,2,66.5,0.5
4b,infrequent,1991,7,2,63.5,0.5
4b,infrequent,1991,8,2,92.5,0
4b,infrequent,1991,9,2,85.5,0
4b,infrequent,1991,10,2,86,0
4b,infrequent,1991,11,3,70,15
4b,infrequent,1991,12,3,69.5,0.5
4b,infrequent,1991,13,3,67,0
4b,infrequent,1991,14,3,86,0.5
4b,infrequent,1991,15,3,85.5,0
4b,infrequent,1991,16,4,66,4
4b,infrequent,1991,17,4,66,4
4b,infrequent,1991,18,4,66,0
4b,infrequent,1991,19,4,36,3.5
4b,infrequent,1991,20,4,36,3.5
4b,infrequent,1992,1,1,92,0
4b,infrequent,1992,2,1,89,0
4b,infrequent,1992,3,1,89,0
4b,infrequent,1992,4,1,67,0
4b,infrequent,1992,5,1,78.5,0
4b,infrequent,1992,6,2,69.5,0
4b,infrequent,1992,7,2,43,0
4b,infrequent,1992,8,2,70,0
4b,infrequent,1992,9,2,101,0
4b,infrequent,1992,10,2,86.5,0
4b,infrequent,1992,11,3,36.5,3.5
4b,infrequent,1992,12,3,25.5,0
4b,infrequent,1992,13,3,54.5,0
4b,infrequent,1992,14,3,103.5,0
4b,infrequent,1992,15,3,54.5,0
4b,infrequent,1992,16,4,66,15
4b,infrequent,1992,17,4,66,3.5
4b,infrequent,1992,18,4,66,0
4b,infrequent,1992,19,4,48,0
4b,infrequent,1992,20,4,47.5,36
4b,infrequent,1993,1,1,92.5,0
4b,infrequent,1993,2,1,92.5,0
4b,infrequent,1993,3,1,81,0
4b,infrequent,1993,4,1,83.5,0
4b,infrequent,1993,5,1,113.5,0
4b,infrequent,1993,6,2,83.5,3.5
4b,infrequent,1993,7,2,37,3.5
4b,infrequent,1993,8,2,54.5,0
4b,infrequent,1993,9,2,81,0
4b,infrequent,1993,10,2,84.5,0
4b,infrequent,1993,11,3,37,32.5
4b,infrequent,1993,12,3,60,0
4b,infrequent,1993,13,3,62.5,0
4b,infrequent,1993,14,3,77.5,3.5
4b,infrequent,1993,15,3,48.5,0
4b,infrequent,1993,16,4,30,32.5
4b,infrequent,1993,17,4,47.5,15
4b,infrequent,1993,18,4,47.5,0
4b,infrequent,1993,19,4,33.5,7
4b,infrequent,1993,20,4,30,77.5
4b,infrequent,1994,1,1,92,0
4b,infrequent,1994,2,1,89,0
4b,infrequent,1994,3,1,89,0
4b,infrequent,1994,4,1,81.5,0
4b,infrequent,1994,5,1,78,0
4b,infrequent,1994,6,2,92,0.5
4b,infrequent,1994,7,2,43,0.5
4b,infrequent,1994,8,2,67,0
4b,infrequent,1994,9,2,86.5,0
4b,infrequent,1994,10,2,92.5,0
4b,infrequent,1994,11,3,40,15
4b,infrequent,1994,12,3,73,0
4b,infrequent,1994,13,3,84.5,0
4b,infrequent,1994,14,3,92,3.5
4b,infrequent,1994,15,3,84.5,0
4b,infrequent,1994,16,4,66.5,15
4b,infrequent,1994,17,4,70,15
4b,infrequent,1994,18,4,66.5,0
4b,infrequent,1994,19,4,36.5,7
4b,infrequent,1994,20,4,30,47.5
4b,infrequent,1995,1,1,89,0
4b,infrequent,1995,2,1,92,0
4b,infrequent,1995,3,1,92,0
4b,infrequent,1995,4,1,95.5,0
4b,infrequent,1995,5,1,78.5,0
4b,infrequent,1995,6,2,89,0.5
4b,infrequent,1995,7,2,36.5,3.5
4b,infrequent,1995,8,2,70,0
4b,infrequent,1995,9,2,89,0
4b,infrequent,1995,10,2,92.5,0
4b,infrequent,1995,11,3,69.5,3.5
4b,infrequent,1995,12,3,92.5,0
4b,infrequent,1995,13,3,107,0
4b,infrequent,1995,14,3,92,3.5
4b,infrequent,1995,15,3,81.5,3.5
4b,infrequent,1995,16,4,36,32.5
4b,infrequent,1995,17,4,70,32.5
4b,infrequent,1995,18,4,81,0
4b,infrequent,1995,19,4,81,7
4b,infrequent,1995,20,4,47.5,47.5
4b,infrequent,1996,1,1,86,0
4b,infrequent,1996,2,1,86,0
4b,infrequent,1996,3,1,92,0
4b,infrequent,1996,4,1,67,0
4b,infrequent,1996,5,1,81.5,0
4b,infrequent,1996,6,2,69.5,3.5
4b,infrequent,1996,7,2,36.5,3.5
4b,infrequent,1996,8,2,73,0
4b,infrequent,1996,9,2,85.5,0
4b,infrequent,1996,10,2,70,0
4b,infrequent,1996,11,3,51,15
4b,infrequent,1996,12,3,67,3.5
4b,infrequent,1996,13,3,92.5,0
4b,infrequent,1996,14,3,92,3.5
4b,infrequent,1996,15,3,16,3.5
4b,infrequent,1996,16,4,15.5,32.5
4b,infrequent,1996,17,4,22.5,15
4b,infrequent,1996,18,4,69.5,0
4b,infrequent,1996,19,4,22,18.5
4b,infrequent,1996,20,4,18.5,32.5
4b,infrequent,1997,1,1,86,0
4b,infrequent,1997,2,1,85.5,0
4b,infrequent,1997,3,1,86,0
4b,infrequent,1997,4,1,66.5,0
4b,infrequent,1997,5,1,69.5,0
4b,infrequent,1997,6,2,89,3.5
4b,infrequent,1997,7,2,63.5,7
4b,infrequent,1997,8,2,64,0
4b,infrequent,1997,9,2,63,0
4b,infrequent,1997,10,2,86,0
4b,infrequent,1997,11,3,33.5,15
4b,infrequent,1997,12,3,37,3.5
4b,infrequent,1997,13,3,66.5,0
4b,infrequent,1997,14,3,89,3.5
4b,infrequent,1997,15,3,33,3.5
4b,infrequent,1997,16,4,15,32.5
4b,infrequent,1997,17,4,19,32.5
4b,infrequent,1997,18,4,63.5,0
4b,infrequent,1997,19,4,19,30
4b,infrequent,1997,20,4,36,62.5
4b,infrequent,1998,1,1,89,0
4b,infrequent,1998,2,1,89,0
4b,infrequent,1998,3,1,63.5,0
4b,infrequent,1998,4,1,89,0
4b,infrequent,1998,5,1,78.5,0
4b,infrequent,1998,6,2,89,3.5
4b,infrequent,1998,7,2,37,7
4b,infrequent,1998,8,2,89.5,0
4b,infrequent,1998,9,2,89,0
4b,infrequent,1998,10,2,99,0
4b,infrequent,1998,11,3,33.5,15
4b,infrequent,1998,12,3,54.5,3.5
4b,infrequent,1998,13,3,70,0
4b,infrequent,1998,14,3,86,15
4b,infrequent,1998,15,3,63,7
4b,infrequent,1998,16,4,15,32.5
4b,infrequent,1998,17,4,36.5,32.5
4b,infrequent,1998,18,4,92,3.5
4b,infrequent,1998,19,4,22,30
4b,infrequent,1998,20,4,62.5,15
4b,infrequent,1999,1,1,88.5,0.5
4b,infrequent,1999,2,1,103,15
4b,infrequent,1999,3,1,96.5,15
4b,infrequent,1999,4,1,117.5,0
4b,infrequent,1999,5,1,112.5,0.5
4b,infrequent,1999,6,2,118,3.5
4b,infrequent,1999,7,2,67,18.5
4b,infrequent,1999,8,2,162.5,0
4b,infrequent,1999,9,2,109.5,0.5
4b,infrequent,1999,10,2,108.5,0
4b,infrequent,1999,11,3,70,15
4b,infrequent,1999,12,3,76.5,15
4b,infrequent,1999,13,3,117.5,3.5
